Batch,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Collected on,2021/05/17 14:10:44,Analysis Instrument,PS019,Acquisition Software,,Stable 1.71.5,Reanalyzed  on,2021/05/17 15:09:51,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.71.5

Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Ref Major,Sam Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,DELTA,DELTA,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13656 ETH-03.txt,ETH-03,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 01:08:57,470,9,1.9898e-08,4.233687E-11,CF,0.549,3.177e-02,0,3.1060e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,3.4670e-08,1.0562e-07,1.9100e-08,7.8507e-08,7.8425e-08,7.8233e-08,0.96,2021/05/18 01:08:00,-45.05,8396,8449,3.1766e-02,46.009,20,0.000,-3.0940e-13,-1.4237e-13,-1.5719e-13,-8.1852e-14,4.1109e-14,6.8718e-12,26.00,28.00,72.39,1.96700e-08,1.09640e-08,1.20211e-02,4.2542e-03,4.9714e-05,4.7384e-06,-3.8673e-08,1.1967e-02,4.2031e-03,4.8908e-05,4.6311e-06,5.0234e-09,4.5487,12.1563,16.4772,23.0549,-2734.2481,1.5310,0.0031,0,60,6.1876,0.0114,0,60,-0.2258,-1.3729,-2685.7965,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13657 ETH-02.txt,ETH-02,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 02:31:11,413,10,1.4063e-07,3.405178E-10,CF,21.057,3.249e-02,1,3.1766e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4324e-08,1.0533e-07,5.9038e-08,5.9288e-08,5.9246e-08,5.9104e-08,0.96,2021/05/18 02:30:26,0.24,5698,8450,3.2488e-02,46.009,20,0.000,-3.1611e-13,-1.4521e-13,-1.6018e-13,-8.1847e-14,4.6009e-14,7.3788e-12,20.00,21.00,72.39,3.89989e-08,3.87037e-08,1.18866e-02,4.1837e-03,4.8234e-05,4.5538e-06,-3.3887e-08,1.1971e-02,4.2050e-03,4.8865e-05,4.6018e-06,-2.9177e-08,-7.0170,-5.0619,-12.9117,-10.4499,-10.3170,-10.1820,0.0007,0,60,-10.9220,0.0012,0,60,-0.7441,-0.3554,7.1225,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13658 30-RJS-5159.1D.txt,30-RJS-5159.1D,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 04:00:29,635,11,4.1431e-08,6.524625E-11,CF,5.249,3.476e-02,0,3.2488e-02,14784, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,4.2441e-08,1.0579e-07,3.9787e-08,7.8507e-08,7.8425e-08,7.8233e-08,0.96,2021/05/18 03:59:31,-7.80,8397,8448,3.4756e-02,46.009,20,0.000,-3.2378e-13,-1.4871e-13,-1.6448e-13,-8.5890e-14,4.0680e-14,7.3761e-12,29.00,28.00,72.39,2.33752e-08,2.06548e-08,1.20492e-02,4.2708e-03,4.9988e-05,4.7497e-06,-2.6032e-08,1.1969e-02,4.2044e-03,4.8907e-05,4.6081e-06,-1.3223e-08,6.6991,15.7972,22.1062,30.6919,176.1695,3.6941,0.0027,0,60,9.8062,0.0084,0,60,-0.4405,-1.1167,132.4191,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13659 30-RJS-5159.1E.txt,30-RJS-5159.1E,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 05:22:45,450,12,1.4861e-07,3.302458E-10,CF,22.400,3.249e-02,1,3.2488e-02,14816, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.2005e-08,1.0554e-07,6.2214e-08,6.2493e-08,6.2446e-08,6.2287e-08,0.96,2021/05/18 05:22:00,0.25,6347,8448,3.2488e-02,46.013,20,0.000,-3.2794e-13,-1.5090e-13,-1.6644e-13,-8.6031e-14,4.3505e-14,7.6863e-12,21.00,21.00,72.39,4.08234e-08,4.05417e-08,1.20514e-02,4.2735e-03,5.0005e-05,4.7866e-06,4.0669e-08,1.1972e-02,4.2058e-03,4.8915e-05,4.6381e-06,4.1945e-08,6.6432,16.0845,22.2787,32.0176,-37.9834,3.6247,0.0009,0,60,10.0922,0.0021,0,60,-0.4928,-0.3972,-74.2520,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13660 30-RJS-5159.1F.txt,30-RJS-5159.1F,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 06:44:59,454,13,1.5226e-07,3.35374E-10,CF,22.522,3.249e-02,1,3.2488e-02,14784, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.1362e-08,1.0605e-07,6.3633e-08,6.3875e-08,6.3823e-08,6.3694e-08,0.96,2021/05/18 06:44:13,0.20,6189,8448,3.2488e-02,46.013,20,0.000,-3.2807e-13,-1.5080e-13,-1.6663e-13,-8.4486e-14,4.6635e-14,7.9277e-12,21.00,21.00,72.39,4.16378e-08,4.13260e-08,1.20507e-02,4.2733e-03,5.0026e-05,4.7983e-06,8.7625e-08,1.1972e-02,4.2058e-03,4.8941e-05,4.6505e-06,8.8138e-08,6.5902,16.0345,22.1751,31.7807,-6.1920,3.5701,0.0010,0,60,10.0425,0.0022,0,60,-0.4914,-0.5282,-43.5126,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13661 ETH-01.txt,ETH-01,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 08:06:24,530,14,1.9772e-07,3.730525E-10,CF,28.870,3.249e-02,1,3.2488e-02,14784, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.0640e-08,1.0592e-07,8.1827e-08,8.2547e-08,8.2483e-08,8.2264e-08,0.96,2021/05/18 08:05:39,0.27,5131,8448,3.2488e-02,46.013,20,0.000,-3.2735e-13,-1.5038e-13,-1.6604e-13,-8.1098e-14,5.2106e-14,8.3399e-12,22.00,22.00,72.39,5.19136e-08,5.16520e-08,1.20310e-02,4.2549e-03,4.9685e-05,4.7412e-06,5.6730e-08,1.1973e-02,4.2061e-03,4.8913e-05,4.6351e-06,5.7867e-08,4.8760,11.6042,15.7775,22.8872,-19.0707,1.8983,0.0008,0,60,5.6374,0.0015,0,60,-0.7128,-0.4455,-46.0300,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13662 ETH-04.txt,ETH-04,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 09:28:55,498,15,9.2615e-09,1.859746E-11,CF,0.336,3.249e-02,0,3.1766e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,3.9887e-08,1.0584e-07,8.8881e-09,6.3875e-08,6.3823e-08,6.3694e-08,0.96,2021/05/18 09:27:57,-77.59,8398,8448,3.2488e-02,46.009,20,0.000,-3.2681e-13,-1.5062e-13,-1.6577e-13,-8.6743e-14,4.0931e-14,7.4887e-12,24.00,28.00,72.39,2.21854e-08,5.49035e-09,1.18792e-02,4.1792e-03,4.8416e-05,4.7347e-06,3.3410e-07,1.1968e-02,4.2040e-03,4.8967e-05,4.6822e-06,1.3490e-07,-7.4632,-5.8990,-11.2447,11.1865,1247.7629,-10.6277,0.0027,0,60,-11.7542,0.0061,0,60,2.2371,23.2234,1292.2992,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13663 30-RJS-5166.25A.txt,30-RJS-5166.25A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 10:49:19,536,16,7.5602e-08,1.410487E-10,CF,11.719,3.249e-02,0,3.1766e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9494e-08,1.0547e-07,7.2547e-08,7.3151e-08,7.3062e-08,7.3130e-08,0.96,2021/05/18 10:48:33,-0.09,5468,8447,3.2488e-02,46.009,20,0.000,-3.2384e-13,-1.4924e-13,-1.6427e-13,-8.4050e-14,4.6152e-14,7.6738e-12,31.00,31.00,72.39,3.65480e-08,3.50391e-08,1.20420e-02,4.2734e-03,4.9984e-05,4.7843e-06,4.1143e-08,1.1971e-02,4.2053e-03,4.8920e-05,4.6346e-06,4.2908e-08,5.9408,16.1945,21.7335,32.3055,-85.0298,2.8735,0.0016,0,60,10.2032,0.0055,0,60,-0.4136,-0.3349,-119.0666,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13664 30-RJS-5166.25B.txt,30-RJS-5166.25B,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 12:11:56,544,17,1.9329e-07,3.553098E-10,CF,28.107,3.249e-02,1,3.1766e-02,14784, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8884e-08,1.0536e-07,7.9897e-08,8.0320e-08,8.0278e-08,8.0027e-08,0.96,2021/05/18 12:11:10,0.31,5064,8446,3.2488e-02,46.011,20,0.000,-3.2435e-13,-1.4955e-13,-1.6464e-13,-8.1207e-14,5.1409e-14,8.1056e-12,22.00,22.00,72.39,5.09006e-08,5.05577e-08,1.20385e-02,4.2735e-03,4.9957e-05,4.7966e-06,7.5629e-08,1.1973e-02,4.2061e-03,4.8928e-05,4.6495e-06,7.6270e-08,5.4881,16.0353,21.0142,31.6323,-5.7419,2.3971,0.0258,0,60,10.0458,0.0185,0,60,-0.4997,-0.6738,-41.9636,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13665 30-RJS-5166.25C.txt,30-RJS-5166.25C,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 13:32:15,448,18,6.1708e-08,1.377412E-10,CF,9.003,3.249e-02,0,3.1766e-02,14784, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8118e-08,1.0611e-07,5.9221e-08,5.9835e-08,5.9768e-08,5.9947e-08,0.96,2021/05/18 13:31:30,-0.30,6131,8446,3.2488e-02,46.011,20,0.000,-3.2226e-13,-1.4876e-13,-1.6371e-13,-8.2052e-14,4.8977e-14,7.9465e-12,30.00,30.00,72.39,3.10718e-08,2.97138e-08,1.20353e-02,4.2725e-03,4.9988e-05,4.8089e-06,7.9317e-08,1.1970e-02,4.2052e-03,4.8958e-05,4.6598e-06,7.8525e-08,5.4225,16.0111,21.0493,31.9540,10.7774,2.3281,0.0020,0,60,10.0218,0.0059,0,60,-0.3747,-0.3144,-25.9345,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13666 ETH-03.txt,ETH-03,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 14:55:33,479,19,4.5600e-09,9.519855E-12,CF,0.336,3.249e-02,0,3.1766e-02,14784, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,3.7565e-08,1.0568e-07,4.3775e-09,8.0320e-08,8.0278e-08,8.0027e-08,0.96,2021/05/18 14:54:35,-88.22,8397,8448,3.2488e-02,46.011,20,0.000,-3.2257e-13,-1.4884e-13,-1.6370e-13,-8.6884e-14,3.8445e-14,7.0927e-12,23.00,28.00,72.39,2.09860e-08,2.81080e-09,1.20158e-02,4.2504e-03,5.0713e-05,5.6576e-06,2.2429e-06,1.1968e-02,4.2040e-03,4.9088e-05,4.7799e-06,3.8070e-07,3.9837,11.0429,33.0685,179.4957,3910.1952,0.9680,0.0042,0,60,5.0808,0.0140,0,60,17.7859,153.8971,3785.3022,
